scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),bldg_a_electric:achieved (kW),bldg_a_electric:requested (kW),utility_electrical:achieved (kW),utility_electrical:requested (kW)
blue_sky,P0000-00-00T00:00:00,0,10,10,10,10
blue_sky,P0000-00-00T00:00:00,1,0,10,0,10
blue_sky,P0000-00-00T00:00:00,2,10,10,10,10
blue_sky,P0000-00-00T00:00:00,3,0,10,0,10
blue_sky,P0000-00-00T00:00:00,4,10,10,10,10
blue_sky,P0000-00-00T00:00:00,5,0,10,0,10
blue_sky,P0000-00-00T00:00:00,6,10,10,10,10
blue_sky,P0000-00-00T00:00:00,7,0,10,0,10
blue_sky,P0000-00-00T00:00:00,8,10,10,10,10
blue_sky,P0000-00-00T00:00:00,9,0,10,0,10
blue_sky,P0000-00-00T00:00:00,10,10,10,10,10
blue_sky,P0000-00-00T00:00:00,11,0,10,0,10
blue_sky,P0000-00-00T00:00:00,12,10,10,10,10
blue_sky,P0000-00-00T00:00:00,13,0,10,0,10
blue_sky,P0000-00-00T00:00:00,14,10,10,10,10
blue_sky,P0000-00-00T00:00:00,15,0,10,0,10
blue_sky,P0000-00-00T00:00:00,16,10,10,10,10
blue_sky,P0000-00-00T00:00:00,17,0,10,0,10
blue_sky,P0000-00-00T00:00:00,18,10,10,10,10
blue_sky,P0000-00-00T00:00:00,19,0,10,0,10
blue_sky,P0000-00-00T00:00:00,20,0,0,0,0
